INSTANCE_ID,REFERENCE_ID,level_all_num,level1_num,level2_num,level3_num,level4_num,level5_num,level6_num,level1_char,level2_char,level3_char,level4_char,level5_char,level6_char,ANCHOR_TEXT,CONTEXT_PARAGRAPH
11,1061836,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"McDonald-Buller et al., 2011","The distinction between U.S. anthropogenic and USB sources is not always straightforward, with ambiguities or debate regarding U.S. anthropogenic methane (Fiore et al., 2014), U.S. anthropogenic emissions that have recirculated globally (McDonald-Buller et al., 2011), international shipping and aviation (U.S. EPA, 2015), prescribed fires (U.S. EPA, 2015), and soil emissions (Rasool et al., 2016); see Section 1.3.2.1."
12,4679035,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"U.S. EPA, 2015","The distinction between U.S. anthropogenic and USB sources is not always straightforward, with ambiguities or debate regarding U.S. anthropogenic methane (Fiore et al., 2014), U.S. anthropogenic emissions that have recirculated globally (McDonald-Buller et al., 2011), international shipping and aviation (U.S. EPA, 2015), prescribed fires (U.S. EPA, 2015), and soil emissions (Rasool et al., 2016); see Section 1.3.2.1."
13,4679035,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"U.S. EPA, 2015","The distinction between U.S. anthropogenic and USB sources is not always straightforward, with ambiguities or debate regarding U.S. anthropogenic methane (Fiore et al., 2014), U.S. anthropogenic emissions that have recirculated globally (McDonald-Buller et al., 2011), international shipping and aviation (U.S. EPA, 2015), prescribed fires (U.S. EPA, 2015), and soil emissions (Rasool et al., 2016); see Section 1.3.2.1."
14,3428904,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"Rasool et al., 2016","The distinction between U.S. anthropogenic and USB sources is not always straightforward, with ambiguities or debate regarding U.S. anthropogenic methane (Fiore et al., 2014), U.S. anthropogenic emissions that have recirculated globally (McDonald-Buller et al., 2011), international shipping and aviation (U.S. EPA, 2015), prescribed fires (U.S. EPA, 2015), and soil emissions (Rasool et al., 2016); see Section 1.3.2.1."
15,88089,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,U.S. EPA (2006),"As defined here, USB is a model construct that cannot be measured using ambient monitoring data. This approach is consistent with the 2006 Ozone Air Quality Criteria Document [AQCD; U.S. EPA (2006)] and the 2013 Ozone ISA (U.S. EPA, 2013), which also assessed modeled estimates of USB. The 2006 Ozone AQCD (U.S. EPA, 2006) included an extensive discussion of alternative methodologies for estimating background ozone in its Annex AX3.9 and concluded that background ozone concentrations cannot be obtained solely by examining measurements of ozone obtained at relatively remote monitoring sites in the U.S. because of long-range transport of ozone originating from U.S. anthropogenic precursors even at the most remote monitoring locations. Reasons for not using measurement-based estimates of USB are explained in further detail in Section 1.2.2.5. Reliance on atmospheric modeling for USB concentrations estimates continued in the 2013 Ozone ISA (U.S. EPA, 2013)."
16,1508492,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"U.S. EPA, 2013","As defined here, USB is a model construct that cannot be measured using ambient monitoring data. This approach is consistent with the 2006 Ozone Air Quality Criteria Document [AQCD; U.S. EPA (2006)] and the 2013 Ozone ISA (U.S. EPA, 2013), which also assessed modeled estimates of USB. The 2006 Ozone AQCD (U.S. EPA, 2006) included an extensive discussion of alternative methodologies for estimating background ozone in its Annex AX3.9 and concluded that background ozone concentrations cannot be obtained solely by examining measurements of ozone obtained at relatively remote monitoring sites in the U.S. because of long-range transport of ozone originating from U.S. anthropogenic precursors even at the most remote monitoring locations. Reasons for not using measurement-based estimates of USB are explained in further detail in Section 1.2.2.5. Reliance on atmospheric modeling for USB concentrations estimates continued in the 2013 Ozone ISA (U.S. EPA, 2013)."
17,88089,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"U.S. EPA, 2006","As defined here, USB is a model construct that cannot be measured using ambient monitoring data. This approach is consistent with the 2006 Ozone Air Quality Criteria Document [AQCD; U.S. EPA (2006)] and the 2013 Ozone ISA (U.S. EPA, 2013), which also assessed modeled estimates of USB. The 2006 Ozone AQCD (U.S. EPA, 2006) included an extensive discussion of alternative methodologies for estimating background ozone in its Annex AX3.9 and concluded that background ozone concentrations cannot be obtained solely by examining measurements of ozone obtained at relatively remote monitoring sites in the U.S. because of long-range transport of ozone originating from U.S. anthropogenic precursors even at the most remote monitoring locations. Reasons for not using measurement-based estimates of USB are explained in further detail in Section 1.2.2.5. Reliance on atmospheric modeling for USB concentrations estimates continued in the 2013 Ozone ISA (U.S. EPA, 2013)."
18,1508492,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"U.S. EPA, 2013","As defined here, USB is a model construct that cannot be measured using ambient monitoring data. This approach is consistent with the 2006 Ozone Air Quality Criteria Document [AQCD; U.S. EPA (2006)] and the 2013 Ozone ISA (U.S. EPA, 2013), which also assessed modeled estimates of USB. The 2006 Ozone AQCD (U.S. EPA, 2006) included an extensive discussion of alternative methodologies for estimating background ozone in its Annex AX3.9 and concluded that background ozone concentrations cannot be obtained solely by examining measurements of ozone obtained at relatively remote monitoring sites in the U.S. because of long-range transport of ozone originating from U.S. anthropogenic precursors even at the most remote monitoring locations. Reasons for not using measurement-based estimates of USB are explained in further detail in Section 1.2.2.5. Reliance on atmospheric modeling for USB concentrations estimates continued in the 2013 Ozone ISA (U.S. EPA, 2013)."
19,2952879,1.2.2.2,1,2,2,2,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Apportionment-Based U.S. Background (USBAB),,,"Dolwick et al., 2015","Modeling approaches for estimating USB can be classified as either source-sensitivity or source-apportionment approaches (see Section 1.8.1). USB was originally estimated using source-sensitivity approaches (e.g., ""zero-out"" modeling). Apportionment-based USB (USBAB) has been defined as the amount of ozone formed from sources other than U.S. anthropogenic sources as estimated via an apportionment technique (Dolwick et al., 2015)."
20,4829205,1.2.2.3,1,2,2,3,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Averaging Time,,,Jaffe et al. (2018),"As discussed by Jaffe et al. (2018) and in Section 1.8.1, USB MDA8 estimates on specific days are more uncertain than USB seasonal mean estimates, because of considerable daily variation influenced by season, meteorology, and elevation."
21,1508492,1.2.2.4,1,2,2,4,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Other Background Ozone Definitions,,,"U.S. EPA, 2013","Other definitions besides USB have been used in previous U.S. EPA science assessments. Although USB is emphasized in this document, research results based on North American background (NAB) and natural background are also included. These terms were also widely used in the 2013 Ozone ISA (U.S. EPA, 2013) and in earlier ozone assessments."
22,1508492,1.2.2.4,1,2,2,4,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Other Background Ozone Definitions,,,"U.S. EPA, 2013","NAB has been defined as the ozone concentration that would occur in the U.S. in the absence of anthropogenic emissions in continental North America (U.S. EPA, 2013). NAB has also been referred to as policy-relevant background (PRB) in earlier publications (U.S. EPA, 2007)."
23,90207,1.2.2.4,1,2,2,4,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Other Background Ozone Definitions,,,"U.S. EPA, 2007","NAB has been defined as the ozone concentration that would occur in the U.S. in the absence of anthropogenic emissions in continental North America (U.S. EPA, 2013). NAB has also been referred to as policy-relevant background (PRB) in earlier publications (U.S. EPA, 2007)."
24,1605727,1.2.2.4,1,2,2,4,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Other Background Ozone Definitions,,,"Lefohn et al., 2012","Emissions-influenced background (EIB) has been defined as another measure of background ozone estimated from source apportionment modeling approaches while including chemical interactions with anthropogenic emissions (Lefohn et al., 2012)."
25,4829205,1.2.2.5,1,2,2,5,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,Baseline Ozone,,,"Jaffe et al., 2018","Baseline ozone is an alternative metric to USB or NAB that has been defined as the measured ozone concentration at rural or remote sites that have not been influenced by recent, local emissions (Jaffe et al., 2018). In contrast to USB, baseline ozone is by definition directly measured."
26,1518522,1.3,1,3,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Sources of U.S. Ozone and Its Precursors,,,,,CCSP (2003),"Source: Based on CCSP (2003), modified to include ozone sources and chemistry."
27,3996689,1.3.1.1,1,3,1,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Sources of U.S. Ozone and Its Precursors,Precursor Sources,Ozone Precursor Emissions: Anthropogenic Sources and Trends in the U.S.,,,U.S. EPA (2017),"Figure 1-2 provides a visual summary of annual emissions by the largest U.S. sources of anthropogenic NOX, CO, VOCs, and methane. Estimates for NOX, CO and VOC emissions are taken from the publicly available versions of the U.S. EPA National Emissions Inventory [2014 NEI, Version 2; U.S. EPA (2017)]. Methane is not one of the pollutants or pollutant precursors included in the NEI. However, methane is an important greenhouse gas and is, therefore, included in the U.S. Inventory of Greenhouse Gases and Sinks (U.S. EPA, 2016d). The NEI and U.S. GHG inventory do not share the same source classification scheme; therefore, direct sector comparisons are not possible. Emissions of each precursor are shown in Figure 1-2 and Figure 1-3 as a function of sector, as defined in the inventory from which the data were derived."
28,4846950,1.3.1.1,1,3,1,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Sources of U.S. Ozone and Its Precursors,Precursor Sources,Ozone Precursor Emissions: Anthropogenic Sources and Trends in the U.S.,,,"U.S. EPA, 2016d","Figure 1-2 provides a visual summary of annual emissions by the largest U.S. sources of anthropogenic NOX, CO, VOCs, and methane. Estimates for NOX, CO and VOC emissions are taken from the publicly available versions of the U.S. EPA National Emissions Inventory [2014 NEI, Version 2; U.S. EPA (2017)]. Methane is not one of the pollutants or pollutant precursors included in the NEI. However, methane is an important greenhouse gas and is, therefore, included in the U.S. Inventory of Greenhouse Gases and Sinks (U.S. EPA, 2016d). The NEI and U.S. GHG inventory do not share the same source classification scheme; therefore, direct sector comparisons are not possible. Emissions of each precursor are shown in Figure 1-2 and Figure 1-3 as a function of sector, as defined in the inventory from which the data were derived."
29,5035816,1.3.1.1,1,3,1,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Sources of U.S. Ozone and Its Precursors,Precursor Sources,Ozone Precursor Emissions: Anthropogenic Sources and Trends in the U.S.,,,"U.S. EPA, 2019b","The U.S. EPA also maintains a Trends database, beginning with 1970, that provides information about criteria pollutant (or precursor) emissions trends for a set of aggregate categories that account for major, or ""Tier 1""source types (U.S. EPA, 2019b). National emissions estimates for these categories are derived from the NEI and are included in the Trends data set when an updated version of the inventory has been finalized for public release. The 2014 NEI is the most recent inventory available to the general public, with the 2017 NEI currently in development (due for public release in 2020). However, annual emissions estimates for some of the relevant ozone precursors are currently available for mobile sources and the electric utility sector. Mobile source emissions are calculated for the NEI using the U.S. EPA Motor Vehicle Emission Simulator (MOVES) model (U.S. EPA, 2011). These values are available for inclusion in the Tier 1 Trends data set in advance of the release of the official 2017 NEI. Electric utilities continuously monitor and provide quarterly reports of emissions of NOX and SOX to U.S. EPA's Clean Air Markets Program, as required under the Clean Air Act. These data (U.S. EPA, 2019a) were used to provide an estimate of 2017 emissions from the electric utility sector for the trends data set. Figure 1-3, showing U.S. Tier 1 precursor emissions trends since 2002, includes estimated NOX emissions by electric utilities, as described, for 2017. Emissions of NOX, CO, and VOCs, as estimated by the MOVES model, for 2017 are likewise included. Emissions by all other source categories are given through 2014, as taken from the 2014 NEI."
30,677540,1.3.1.1,1,3,1,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Sources of U.S. Ozone and Its Precursors,Precursor Sources,Ozone Precursor Emissions: Anthropogenic Sources and Trends in the U.S.,,,"U.S. EPA, 2011","The U.S. EPA also maintains a Trends database, beginning with 1970, that provides information about criteria pollutant (or precursor) emissions trends for a set of aggregate categories that account for major, or ""Tier 1""source types (U.S. EPA, 2019b). National emissions estimates for these categories are derived from the NEI and are included in the Trends data set when an updated version of the inventory has been finalized for public release. The 2014 NEI is the most recent inventory available to the general public, with the 2017 NEI currently in development (due for public release in 2020). However, annual emissions estimates for some of the relevant ozone precursors are currently available for mobile sources and the electric utility sector. Mobile source emissions are calculated for the NEI using the U.S. EPA Motor Vehicle Emission Simulator (MOVES) model (U.S. EPA, 2011). These values are available for inclusion in the Tier 1 Trends data set in advance of the release of the official 2017 NEI. Electric utilities continuously monitor and provide quarterly reports of emissions of NOX and SOX to U.S. EPA's Clean Air Markets Program, as required under the Clean Air Act. These data (U.S. EPA, 2019a) were used to provide an estimate of 2017 emissions from the electric utility sector for the trends data set. Figure 1-3, showing U.S. Tier 1 precursor emissions trends since 2002, includes estimated NOX emissions by electric utilities, as described, for 2017. Emissions of NOX, CO, and VOCs, as estimated by the MOVES model, for 2017 are likewise included. Emissions by all other source categories are given through 2014, as taken from the 2014 NEI."
