,header_num,header_text,ref_text,hero_id,REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT
319,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Doyle et al., 2007: http://hero.epa.gov/index.cfm?action=search.view&reference_id=596377",596377,596377,16860297.0,WOS:000246096600019,10.1016/j.cbi.2006.05.016,"Atmospheric photochemical transformations enhance 1,3-butadiene-induced inflammatory responses in human epithelial cells: The role of ozone and other photochemical degradation products","Doyle, M; Sexton, KG; Jeffries, H; Jaspers, I",2007.0,"Chemistry of hazardous air pollutants has been studied for many years, yet little is known about how these chemicals, once reacted within urban atmospheres, affect healthy and susceptible individuals. Once released into the atmosphere, 1,3-butadiene (BD) reacts with hydroxyl radicals and ozone (created by photochemical processes), to produce many identified and unidentified products. Once this transformation has occurred, the toxic potential of atmospheric pollutants such as BD in the ambient environment is currently unclear. During this study, environmental irradiation chambers (also called smog chambers), utilizing natural sunlight, were used to create photochemical transformations of BD. The smog chamber/in vitro exposure system was designed to investigate the toxicity of chemicals before and after photochemical reactions and to investigate interactions with the urban atmosphere using representative in vitro samples. In this study, we determined the relative toxicity and inflammatory gene expression induced by coupling smog chamber atmospheres with an in vitro system to expose human respiratory epithelial cells to BD, BDs photochemical degradation products, or the equivalent ozone generated within the photochemical mixture. Exposure to the photochemically generated products of BD (primarily acrolein, acetaldehyde, formaldehyde, furan and ozone) induced significant increases in cytotoxicity, IL-8, and IL-6 gene expression compared to a synthetic mixture of primary products that was created by injecting the correct concentrations of the detected products from the irradiation experiments. Interestingly, exposure to the equivalent levels of ozone generated during the photochemical transformation of BD did not induce the same level of inflammatory cytokine release for either exposure protocol, suggesting that the effects from ozone alone do not account for the entire response in the irradiation experiments. These results indicate that BDs full photochemical product generation and interactions, rather than ozone alone, must be carefully evaluated when investigating the possible adverse health effects to BD exposures. The research presented here takes into account that photochemical transformations of hazardous air pollutants (HAPs) does generate a dynamic exposure system and therefore provides a more realistic approach to estimate the toxicity of ambient air pollutants once they are released into the atmosphere."
320,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Doyle et al., 2004: http://hero.epa.gov/index.cfm?action=search.view&reference_id=88404",88404,88404,15531432.0,WOS:000224972500035,10.1289/ehp.7022,"Effects of 1,3-butadiene, isoprene, and their photochemical degradation products on human lung cells","Doyle, M; Sexton, KG; Jeffries, H; Bridge, K; Jaspers, I",2004.0,"Because of potential exposure both in the workplace and from ambient air, the known carcinogen 1,3-butadiene (BD) is considered a priority hazardous air pollutant. BD and its 2-methyl analog, isoprene (ISO), are chemically similar but have very different toxicities, with ISO showing no significant carcinogenesis. Once released into the atmosphere, reactions with species induced by sunlight and nitrogen oxides convert BD and ISO into several photochemical reaction products. In this study, we determined the relative toxicity and inflammatory gene expression induced by exposure of A549 cells to BD, ISO, and their photochemical degradation products in the presence of nitric oxide. Gas chromatography and mass spectrometry analyses indicate the initial and major photochemical products produced during these experiments for BD are acrolein, acetaldehyde, and formaldehyde, and products for ISO are methacrolein, methyl vinyl ketone, and formaldehyde; both formed < 200 ppb of ozone. After exposure the cells were examined for cytotoxicity and interleukin-8 (IL-8) gene expression, as a marker for inflammation. These results indicate that although BD and ISO alone caused similar cytotoxicity and IL-8 responses compared with the air control, their photochemical products significantly enhanced cytotoxicity and IL-8 gene expression. This suggests that once ISO and BD are released into the environment, reactions occurring in the atmosphere transform these hydrocarbons into products that induce potentially greater adverse health effects than the emitted hydrocarbons by themselves. In addition, the data suggest that based on the carbon concentration or per carbon basis, biogenic ISO transforms into products with proinflammatory potential similar to that of BD products."
321,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Sexton et al., 2004: http://hero.epa.gov/index.cfm?action=search.view&reference_id=87831",87831,87831,15204799.0,WOS:000222605700012,10.1080/08958370490443196,Photochemical products in urban mixtures enhance inflammatory responses in lung cells,"Sexton, KG; Jeffries, HE; Jang, M; Kamens, RM; Doyle, M; Voicu, I; Jaspers, I",2004.0,"Complex urban air mixtures that realistically mimic urban smog can be generated for investigating adverse health effects. ""Smog chambers"" have been used for over 30 yr to conduct experiments for developing and testing photochemical models that predict ambient ozone (O3) concentrations and aerosol chemistry. These chambers were used to generate photochemical and nonirradiated systems, which were interfaced with an in vitro exposure system to compare the inflammatory effects of complex air pollutant mixtures with and without sunlight-driven chemistry. These are preliminary experiments in a new project to study the health effects of particulate matter and associated gaseous copollutants. Briefly, two matched outdoor chambers capable of using real sunlight were utilized to generate two test atmospheres for simultaneous exposures to cultured lung cells. One chamber was used to produce a photochemically active system, which ran from sunrise to sunset, producing O3and the associated secondary products. A few hours after sunset, NO was added to titrate and remove completely the O3, forming NO2. In the second chamber, an equal amount of NO2and the same amount of the 55-component hydrocarbon mixture used to setup the photochemical system in the first side were injected. A549 cells, from an alveolar type II-like cell line grown on membranous support, were exposed to the photochemical mixture or theooriginaloNO2/hydrocarbon mixture for 5 h and analyzed for inflammatory response (IL-8 mRNA levels) 4 h postexposure. In addition, a variation of this experiment was conducted to compare the photochemical system producing O3and NO2, with a simple mixture of only the O3and NO2. Our data suggest that the photochemically altered mixtures that produced secondary products induced about two- to threefold more IL-8 mRNA than the mixture of NO2and hydrocarbons or O3. These results indicate that secondary products generated through the photochemical reactions of NOxand hydrocarbons may significantly contribute to the inflammatory responses induced by exposure to urban smog. From previous experience with relevant experiments, we know that many of these gaseous organic products would contribute to the formation of significant secondary organic particle mass in the presence of seed particles (including road dust or combustion products). In the absence of such particles, these gaseous products remained mostly as gases. These experiments show that photochemically produced gaseous products do influence the toxic responses of the cells in the absence of particles."
322,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Olaguer et al., 2009: http://hero.epa.gov/index.cfm?action=search.view&reference_id=200191",200191,200191,19947108.0,WOS:000271436800001,10.3155/1047-3289.59.11.1258,Deciphering the role of radical precursors during the Second Texas Air Quality Study,"Olaguer, EP; Rappengluck, B; Lefer, B; Stutz, J; Dibb, J; Griffin, R; Brune, WH; Shauck, M; Buhr, M; Jeffries, H; Vizuete, W; Pinto, JP",2009.0,"The Texas Environmental Research Consortium (TERC) funded significant components of the Second Texas Air Quality Study (TexAQS II), including the TexAQS II Radical and Aerosol Measurement Project (TRAMP) and instrumented flights by a Piper Aztec aircraft. These experiments called attention to the role of short-lived radical sources such as formaldehyde (HCHO) and nitrous acid (HONO) in increasing ozone productivity. TRAMP instruments recorded daytime HCHO pulses as large as 32 parts per billion (ppb) originating from upwind industrial activities in the Houston Ship Channel, where in situ surface monitors detected HCHO peaks as large as 52 ppb. Moreover, Ship Channel petrochemical flares were observed to produce plumes of apparent primary HCHO. In one such combustion plume that was depleted of ozone by large emissions of oxides of nitrogen (NOx), the Piper Aztec measured a ratio of HCHO to carbon monoxide (CO) 3 times that of mobile sources. HCHO from uncounted primary sources or ozonolysis of underestimated olefin emissions could significantly increase ozone productivity in Houston beyond previous expectations. Simulations with the CAMx model show that additional emissions of HCHO from industrial flares or mobile sources can increase peak ozone in Houston by up to 30 ppb. Other findings from TexAQS II include significant concentrations of HONO throughout the day, well in excess of current air quality model predictions, with large nocturnal vertical gradients indicating a surface or near-surface source of HONO, and large concentrations of nighttime radicals (approximately30 parts per trillion [ppt] HO2). HONO may be formed heterogeneously on urban canopy or particulate matter surfaces and may be enhanced by organic aerosol of industrial or motor vehicular origin, such as through conversion of nitric acid (HNO3). Additional HONO sources may increase daytime ozone by more than 10 ppb. Improving the representation of primary and secondary HCHO and HONO in air quality models could enhance the simulated effectiveness of control strategies."
328,3.2.3,Multiphase Processes,Thornton et al. (2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=386870,386870,386870,20220847.0,WOS:000275366100045,10.1038/nature08905,A large atomic chlorine source inferred from mid-continental reactive nitrogen chemistry,"Thornton, JA; Kercher, JP; Riedel, TP; Wagner, NL; Cozic, J; Holloway, JS; Dube, WP; Wolfe, GM; Quinn, PK; Middlebrook, AM; Alexander, B; Brown, SS",2010.0,"Halogen atoms and oxides are highly reactive and can profoundly affect atmospheric composition. Chlorine atoms can decrease the lifetimes of gaseous elemental mercury(1) and hydrocarbons such as the greenhouse gas methane(2). Chlorine atoms also influence cycles that catalytically destroy or produce tropospheric ozone(3), a greenhouse gas potentially toxic to plant and animal life. Conversion of inorganic chloride into gaseous chlorine atom precursors within the troposphere is generally considered a coastal or marine air phenomenon(4). Here we report mid-continental observations of the chlorine atom precursor nitryl chloride at a distance of 1,400km from the nearest coastline. We observe persistent and significant nitryl chloride production relative to the consumption of its nitrogen oxide precursors. Comparison of these findings to model predictions based on aerosol and precipitation composition data from long-term monitoring networks suggests nitryl chloride production in the contiguous USA alone is at a level similar to previous global estimates for coastal and marine regions(5). We also suggest that a significant fraction of tropospheric chlorine atoms(6) may arise directly from anthropogenic pollutants."
335,3.2.3,Multiphase Processes,Docherty et al. (2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=87613,87613,87613,15984782.0,WOS:000229662200032,10.1021/es050228s,Contributions of organic peroxides to secondary aerosol formed from reactions of monoterpenes with O3,"Docherty, KS; Wu, W; Lim, YB; Ziemann, PJ",2005.0,"The role of organic peroxides in secondary organic aerosol (SOA) formation from reactions of monoterpenes with O3 was investigated in a series of environmental chamber experiments. Reactions were performed with endocyclic (-pinene and 3-carene) and exocyclic (-pinene and sabinene) alkenes in dry and humid air and in the presence of the OH radical scavengers: cyclohexane, 1-propanol, and formaldehyde. A thermal desorption particle beam mass spectrometer was used to probe the identity and volatility of SOA components, and an iodometric-spectrophotometric method was used to quantify organic peroxides. Thermal desorption profiles and mass spectra showed that the most volatile SOA components had vapor pressures similar to pinic acid and that much of the SOA consisted of less volatile species that were probably oligomeric compounds. Peroxide analyses indicated that the SOA was predominantly organic peroxides, providing evidence that the oligomers were mostly peroxyhemiacetals formed by heterogeneous reactions of hydroperoxides and aldehydes. For example, it was estimated that organic peroxides contributed ~47 and ~85% of the SOA mass formed in the - and -pinene reactions, respectively. Reactions performed with different OH radical scavengers indicated that most of the hydroperoxides were formed through the hydroperoxide channel rather than by reactions of stabilized Criegee intermediates. The effect of the OH radical scavenger on the SOA yield was also investigated, and the results were consistent with results of recent experiments and model simulations that support a mechanism based on changes in the [HO2]/[RO2] ratios. These are the first measurements of organic peroxides in monoterpene SOA, and the results have important implications for understanding the mechanisms of SOA formation and the potential effects of atmospheric aerosol particles on the environment and human health."
345,3.2.3.1,Indoor Air,Chen et al. (2011: http://hero.epa.gov/index.cfm?action=search.view&reference_id=749391,749391,749391,21121662.0,WOS:000285679300042,10.1021/es102166c,Secondary organic aerosol from ozonolysis of biogenic volatile organic compounds: Chamber studies of particle and reactive oxygen species formation,"Chen, X; Hopke, PK; Carter, WP",2011.0,"The formation of secondary organic aerosol (SOA) produced from ?-pinene, linalool, and limonene by ozonolysis was examined using a dynamic chamber system that allowed the simulation of ventilated indoor environments. Experiments were conducted at typical room temperatures and air exchange rates. Limonene ozonolysis produced the highest SOA mass concentrations and linalool the lowest with ?-pinene being intermediate. Simplified empirical modeling simulations were conducted to provide insights into reaction chemistry. Assessment of variability of particle-bound reactive oxygen species (ROS) may be important in the understanding of health effects associated with particulate matter. The ROS intensities defined as ROS/SOA mass were found to be moderately correlated with the SOA densities. Greater ROS intensities were observed for the cases where ozone was in excess. ROS intensities approached a relatively constant value in the region where ozone was in deficit. The estimated initial ROS half-life time was approximately 6.5 h at room temperature suggesting the time sensitivity of ROS measurements. The ROS formed from terpenoid ozonolysis could be separated into three categories: short-lived/high reactive/volatile, semivolatile/relatively stable and nonvolatile/low reactive species based on ROS measurements under various conditions. Such physical characterization of the ROS in terms of reactivity and volatility provides some insights into the nature of ROS."
354,3.2.4,Temperature and Chemical Precursor Relationships,Jaffe et al. (2008: http://hero.epa.gov/index.cfm?action=search.view&reference_id=608933,608933,608933,18767640.0,WOS:000258439600011,10.1021/es800084k,Influence of fires on O-3 concentrations in the western US,"Jaffe, D; Chand, D; Hafner, W; Westerling, A; Spracklen, D",2008.0,"Because forest fires emit substantial NOx and hydrocarbons-known contributors to O-3 production-we hypothesize that interannual variation in western U.S. O-3 is related to the burned area. To evaluate this hypothesis we used a gridded database of western U.S. summer burned area (BA) and biomass consumed (BC) by fires between 101-125 degrees W. The fire data were compared with daytime summer O-3 mixing ratios from nine rural Clean Air Status and Trends Network (CASTNET) and National Park Service (NPS) sites. Large fire years exhibited widespread enhanced O-3. The summer BA was significantly correlated with O-3 at all sites. For each 1 million acres burned in the western U.S. during summer, we estimate that the daytime mean O-3 was enhanced across the region by 2.0 ppbv. For mean and maximum fire years, O-3 was enhanced by an average of 3.5 and 8.8 ppbv, respectively. At most Sites O-3 was significantly correlated with fires in the surrounding 5 x 5 degrees and 10 x 10 degrees regions, but not with fires in the nearest 1 x 1 degrees region, reflecting the balance between O-3 production and destruction in a high NOx environment. BC was a slightly better predictor of O-3, compared with BA. The relationship between O-3 and temperature was examined at two sites (Yellowstone and Rocky Mountain National Parks). At these two sites, high fire years were significantly warmer than low fire years; however, daytime seasonal mean temperature and O-3 were not significantly correlated. This indicates that the presence of fire is a more important predictor for O-3 than is temperature."
371,3.2.4,Temperature and Chemical Precursor Relationships,Ryerson et al. (2001: http://hero.epa.gov/index.cfm?action=search.view&reference_id=16249,16249,16249,11326097.0,WOS:000168478300049,10.1126/science.1058113,Observations of ozone formation in power plant plumes and implications for ozone control strategies,"Ryerson, TB; Trainer, M; Holloway, JS; Parrish, DD; Huey, LG; Sueper, DT; Frost, GJ; Donnelly, SG; Schauffler, S; Atlas, EL; Kuster, WC; Goldan, PD; Hubler, G; Meagher, JF; Fehsenfeld, FC",2001.0,"National Oceanic and Atmospheric Administration, Health of the Atmosphere and Climate and Global Change Research Programs. Data taken in aircraft transects of emissions plumes from rural U.S. coal-fired power plants were used to confirm and quantify the nonlinear dependence of tropospheric ozone formation on plume NOx (NO plus NO2) concentration, which is determined by plant NOx emission rate and atmospheric dispersion. The ambient availability of reactive volatile organic compounds, principally biogenic isoprene, was also found to modulate ozone production rate and yield in these rural plumes. Differences of a factor of 2 or greater in plume ozone formation rates and yields as a function of NOx and volatile organic compound concentrations were consistently observed. These large differences suggest that consideration of power plant NOx emission rates and geographic locations in current and future U.S. ozone control strategies could substantially enhance the efficacy of NOx reductions from these sources."
425,3.3,Atmospheric Modeling,Fuentes and Raftery (2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=87580,87580,87580,15737076.0,WOS:000227576600005,10.1111/j.0006-341X.2005.030821.x,Model evaluation and spatial interpolation by Bayesian combination of observations with outputs from numerical models,"Fuentes, M; Raftery, AE",2005.0,"Constructing maps of dry deposition pollution levels is vital for air quality management, and presents statistical problems typical of many environmental and spatial applications. Ideally, such maps would be based on a dense network of monitoring stations, but this does not exist. Instead, there are two main sources of information for dry deposition levels in the United States: one is pollution measurements at a sparse set of about 50 monitoring stations called CASTNet, and the other is the output of the regional scale air quality models, called Models-3. A related problem is the evaluation of these numerical models for air quality applications, which is crucial for control strategy selection. We develop formal methods for combining sources of information with different spatial resolutions and for the evaluation of numerical models. We specify a simple model for both the Models-3 output and the CASTNet observations in terms of the unobserved ground truth, and we estimate the model in a Bayesian way. This provides improved spatial prediction via the posterior distribution of the ground truth, allows us to validate Models-3 via the posterior predictive distribution of the CASTNet observations, and enables us to remove the bias in the Models-3 output. We apply our methods to data on SO2 concentrations, and we obtain high-resolution SO2 distributions by combining observed data with model output. We also conclude that the numerical models perform worse in areas closer to power plants, where the SO2 values are overestimated by the models."
455,3.4.1.1,Contributions from the Stratosphere,Hocking et al. (2007: http://hero.epa.gov/index.cfm?action=search.view&reference_id=608032,608032,608032,17994096.0,WOS:000250746200057,10.1038/nature06312,Detection of stratospheric ozone intrusions by windprofiler radars,"Hocking, WK; Carey-Smith, T; Tarasick, DW; Argall, PS; Strong, K; Rochon, Y; Zawadzki, I; Taylor, PA",2007.0,"Nature is the international weekly journal of science: a magazine style journal that publishes full-length research papers in all disciplines of science, as well as News and Views, reviews, news, features, commentaries, web focuses and more, covering all branches of science and how science impacts"
473,3.4.2,Contributions from Anthropogenic Emissions,Cooper et al. (2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=380093,380093,380093,20090751.0,WOS:000273748100041,10.1038/nature08708,Increasing springtime ozone mixing ratios in the free troposphere over western North America,"Cooper, OR; Parrish, DD; Stohl, A; Trainer, M; Nedelec, P; Thouret, V; Cammas, JP; Oltmans, SJ; Johnson, BJ; Tarasick, D; Leblanc, T; Mcdermid, IS; Jaffe, D; Gao, R; Stith, J; Ryerson, T; Aikin, K; Campos, T; Weinheimer, A; Avery, MA",2010.0,"In the lowermost layer of the atmosphere-the troposphere-ozone is an important source of the hydroxyl radical, an oxidant that breaks down most pollutants and some greenhouse gases. High concentrations of tropospheric ozone are toxic, however, and have a detrimental effect on human health and ecosystem productivity. Moreover, tropospheric ozone itself acts as an effective greenhouse gas. Much of the present tropospheric ozone burden is a consequence of anthropogenic emissions of ozone precursors resulting in widespread increases in ozone concentrations since the late 1800s. At present, east Asia has the fastest-growing ozone precursor emissions. Much of the springtime east Asian pollution is exported eastwards towards western North America. Despite evidence that the exported Asian pollution produces ozone, no previous study has found a significant increase in free tropospheric ozone concentrations above the western USA since measurements began in the late 1970s. Here we compile springtime ozone measurements from many different platforms across western North America. We show a strong increase in springtime ozone mixing ratios during 1995-2008 and we have some additional evidence that a similar rate of increase in ozone mixing ratio has occurred since 1984. We find that the rate of increase in ozone mixing ratio is greatest when measurements are more heavily influenced by direct transport from Asia. Our result agrees with previous modelling studies, which indicate that global ozone concentrations should be increasing during the early part of the twenty-first century as a result of increasing precursor emissions, especially at northern mid-latitudes, with western North America being particularly sensitive to rising Asian emissions. We suggest that the observed increase in springtime background ozone mixing ratio may hinder the USA's compliance with its ozone air quality standard."
