REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT,header_num_2013,header_text_2013,header_num_2020,header_text_2020
17607,,,,Air quality criteria for ozone and other photochemical oxidants,,1986,,5.2.2.7,Physical Activity,8.2,Visible Foliar Injury and Biomonitoring
17831,,,,Air quality criteria for ozone and related photochemical oxidants,,1996,"The U.S. Environmental Protection Agency (EPA) promulgates the National Ambient Air Quality Standards (NAAQS) on the basis of scientific information contained in air quality criteria documents. The previous ozone (O3) criteria document, Air Quality Criteria for Ozone and Other Photochemical Oxidants, was released in August 1986 and a supplement, Summary of Selected New Information on Effects of Ozone on Health and Vegetation, was released in January 1992. These documents were used as the basis for a March 1993 decision by EPA that revision of the existing 1-h NAAQS for O3 was not appropriate at that time. That decision, however, did not take into account some of the newer scientific data that became available after completion of the 1986 criteria document. The purpose of this revised air quality criteria document for O3 and related photochemical oxidants is to critically evaluate and assess the latest scientific data associated with exposure to the concentrations of these pollutants found in ambient air. Emphasis is placed on the presentation of health and environmental effects data; however, other scientific data are presented and evaluated in order to provide a better understanding of the nature, sources, distribution, measurement, and concentrations of O3 and related photochemical oxidants and their precursors in the environment. Although the document is not intended to be an exhaustive literature review, it is intended to cover all pertinent literature available through the end of 1993.",3.2,Physical and Chemical Processes,1.8,U.S. Background (USB) Ozone Concentrations
25002,,WOS:000086195600015,10.1016/S1352-2310(99)00465-3,"Natural emissions of non-methane volatile organic compounds, carbon monoxide, and oxides of nitrogen from North America","Guenther, A; Geron, C; Pierce, T; Lamb, B; Harley, P; Fall, R",2000,"National Science Foundation. #The magnitudes, distributions, controlling processes and uncertainties associated with North American natural emissions of oxidant precursors are reviewed. Natural emissions are responsible for a major portion of the compounds, including non-methane volatile organic compounds (NMVOC), carbon monoxide (CO) and nitric oxide (NO), that determine tropospheric oxidant concentrations. Natural sources include soil microbes, vegetation, biomass burning, and lightning. These sources are strongly influenced by human activities that have led to significant changes in the magnitude and distribution of natural emissions in the past two centuries. The total NMVOC flux of about 84I1012 g of carbon (Tg C) is comprised primarily of isoprene (35%), 19 other terpenoid compounds (25%) and 17 non-terpenoid compounds (40%). Vegetation is predicted to contribute about 98% of the total annual natural NMVOC emission. The estimated annual natural NO emission of 2.1I1012 g of nitrogen (Tg N) from North America is primarily due to soils and lightning, while the estimated 10 Tg C of CO arises from biomass burning and vegetation. Field measurements of ambient concentrations and above canopy fluxes have validated emission estimates for a few compounds from some important landscapes. The uncertainty associated with natural emission estimates ranges from less than 50% for midday summer isoprene emission from some locations to about a factor of 10 for some compounds and landscapes.",3.2.1,Sources of Precursors Involved in O3 Formation,1.3.1.3.2,Biogenic Volatile Organic Compounds (VOCs)
29938,9700133,WOS:000075387700029,10.1164/ajrccm.158.2.9709034,Cardiovascular effects of ozone exposure in human volunteers,"Gong, H, Jr; Wong, R; Sarma, RJ; Linn, WS; Sullivan, ED; Shamoo, DA; Anderson, KR; Prasad, SB",1998,"California Air Resources Board. #We hypothesized that ozone (O3) exposure acutely affects cardiovascular hemodynamics in humans and, in particular, in subjects with essential hypertension. We studied 10 nonmedicated hypertensive and six healthy male adults. Each subject, after catheterization of the right heart and a radial artery, was exposed in an environmentally controlled chamber to filtered air (FA) on one day and to 0.3 ppm O3 on the following day for 3 h with intermittent exercise. Relative to FA exposure, O3 exposure induced no statistically significant changes in cardiac index, ventricular performance, pulmonary artery pressure, pulmonary and systemic vascular resistances, ECG, serum cardiac enzymes, plasma catecholamines and atrial natriuretic factor, and SaO2. The overall results did not indicate major acute cardiovascular effects of O3 in either the hypertensive or the control subjects. However, mean preexposure to postexposure changes were significantly (p < 0.02) larger with O3 than with FA for rate-pressure product (1,353 beats/min/mm Hg) and for heart rate (8 beats/min); these responses were not significantly different between the hypertensive and the control subjects. Significant O3 effects were also observed for mean FEV1 (-6%), and AaPO2 (> 10 mm Hg increase), which were not significantly different between the two groups. These results suggest that O3 exposure can increase myocardial work and impair pulmonary gas exchange to a degree that might be clinically important in persons with significant preexisting cardiovascular impairment, with or without concomitant lung disease.",5.3.8,Systemic Inflammation and Oxidative/Nitrosative Stress,4.1.5.3,Controlled Human Exposure Studies
30281,11999000,WOS:000174996600018,10.1183/09031936.02.00247102,The effect of air pollution on inner-city children with asthma,"Mortimer, KM; Neas, LM; Dockery, DW; Redline, S; Tager, IB",2002,"The effect of daily ambient air pollution was examined within a cohort of 846 asthmatic children residing in eight urban areas of the USA, using data from the National Cooperative Inner-City Asthma Study. Daily air pollution concentrations were extracted from the Aerometric Information Retrieval System database from the Environment Protection Agency in the USA. Mixed linear models and generalized estimating equation models were used to evaluate the effects of several air pollutants (ozone, sulphur dioxide (SO2), nitrogen dioxide (NO2) and particles with a 50% cut-off aerodynamic diameter of 10 microm (PM10) on peak expiratory flow rate (PEFR) and symptoms in 846 children with a history of asthma (ages 4-9 yrs). None of the pollutants were associated with evening PEFR or symptom reports. Only ozone was associated with declines in morning % PEFR (0.59% decline (95% confidence interval (CI) 0.13-1.05%) per interquartile range (IQR) increase in 5-day average ozone). In single pollutant models, each pollutant was associated with an increased incidence of morning symptoms: (odds ratio (OR)=1.16 (95% CI 1.02-1.30) per IQR increase in 4-day average ozone, OR=1.32 (95% CI 1.03-1.70) per IQR increase in 2-day average SO2, OR=1.48 (95% CI 1.02-2.16) per IQR increase in 6-day average NO2 and OR=1.26 (95% CI 1.0-1.59) per IQR increase in 2-day average PM10. This longitudinal analysis supports previous time-series findings that at levels below current USA air-quality standards, summer-air pollution is significantly related to symptoms and decreased pulmonary function among children with asthma.",4.6.2.1,Spatial Variability,3.1.5.4.3,Epidemiologic Studies
35429,12412681,WOS:000178712200018,10.1183/09031936.02.00236902,Short-term health effects of particulate and photochemical air pollution in asthmatic children,"Just, J; Segala, C; Sahraoui, F; Priol, G; Grimfeld, A; Neukirch, F",2002,"In a previous panel study in Paris, France, detrimental effects of moderately high levels of winter air pollution on the symptoms and lung function of asthmatic children were demonstrated. A new study was conducted, with the aim of assessing the short-term effects of photo-oxidant and particulate air pollution on childhood asthma during spring and early summer in Paris. Eighty-two medically diagnosed asthmatic children were followed up for 3 months. Outcomes included the incidence and prevalence of asthma attacks, nocturnal cough, supplementary use of beta2-agonists, symptoms of airway irritation, and peak expiratory flow (PEF) value and its variability. The statistical methods controlled for the lack of independence between daily health outcomes, temporal trends and pollen and weather conditions. Black smoke and nitrogen dioxide (NO2) were associated with increases in the occurrence of nocturnal cough and respiratory infections. Ozone (O3) was associated with an increase in the occurrence of asthma attacks and respiratory infections and with changes in lung function, as shown by an increase in PEF variability and a decrease in PEF. Statistically significant interactions were demonstrated between O3 and temperature and between O3 and pollen count for asthma attacks. O3 levels had a greater effect on additional bronchodilator use and on irritations of the eyes, nose and throat on days on which no steroids were used. Particulate matter was associated with eye irritation only. This study showed that, although within international air quality standards, the prevailing levels of photo-oxidant and particulate pollution in spring and early summer had measurable short-term effects on children with mild-to-moderate asthma.",6.2.1.2,Epidemiology,3.1.1.2,The Role of Season and Temperature on Ozone Associations with Respiratory Health Effects
38953,8087337,WOS:A1994PH35200013,10.1164/ajrccm.150.3.8087337,Ozone dose and effect in humans and rats: A comparison using oxygen-18 labeling and bronchoalveolar lavage,"Hatch, GE; Slade, R; Harris, LP; Mcdonnell, WF; Devlin, RB; Koren, HS; Costa, DL; Mckee, J",1994,"In an effort to improve risk assessments for ozone (O3) we compared the incorporation of inhaled oxygen-18-labeled O3 (18O3) into the lungs of humans and laboratory rats. Cells and fluids obtainable through bronchoalveolar lavage (BAL) were examined after exposure to 18O3 to determine whether excess 18O concentrations (presumed to be reaction products of 18O3) could be detected and equated to the O3 dose to the lung. Three O3 effect measurements (increased BAL protein and neutrophils and decreased BAL macrophages) were also made in subjects or animals exposed in parallel to determine whether there was a correspondence between dose and effect measurements. Eight human male volunteers 18 to 35 yr of age were exposed to 18O3 (0.4 ppm for 2 h) with 15-min alternating periods of heavy treadmill exercise and rest. Rats (F344) were exposed identically, except without exercise. 18O3 was generated directly from pure 18O2. BAL cells and centrifugally separable surfactant material were freeze-dried and analyzed by mass spectrometer for excess 18O. Results showed that the exercising humans had four- to fivefold higher 18O concentrations in all of their BAL constituents than did the rats. The humans also had significant increases in all of the effects markers after 0.4 ppm O3, whereas the rats did not. Rats that were exposed to higher concentrations of 18O3 (2.0 ppm) had levels of 18O in BAL that were more comparable to but still lower than those of exercising humans. Changes in all of the effects markers in these rats were comparable or higher than in exercising humans. Therefore, it appears that O3 toxicity in resting rats underestimates effects in exercising humans because rats have a lower than expected dose of O3 to the distal lung. The dose and effect linkage between rats and human should improve extrapolation of animal toxicity data to humans.",5.5.1,Interspecies Dosimetry,3.1.2,"Population, Exposure, Comparison, Outcome, and Study Design (PECOS) Tool"
39228,452041,WOS:A1979GV66400003,10.1016/S0041-008X(79)80004-6,Studies on the developmental toxicity of ozone. I. Prenatal effects,"Kavlock, R; Daston, G; Grabowski, CT",1979,"Ozone, the predominant oxidant in photochemical smog, produces pulmonary and systemic toxicities, and yet possible effects on the fetus have received little attention. Long-Evans rats were exposed during early (Day 6?9), mid (Day 9?12) or late (Day 17?20) gestation, or throughout the period of organogenesis (Day 6?15) to concentrations of ozone varying from 0 to 1.97 ppm. No terata were produced by any regimen, but the resorption rate was increased following exposure to concentrations of ozone above 1.26 ppm in midgestation. Exposure to ambient levels (0.44 ppm) for 8 hr/day during the period of organogenesis produced no significant effects. Fetal heart rates, electrocardiograms, hematocrits, and plasma electrolytes were unaltered by exposure to 1 ppm during mid- or late gestation when examined on Day 20. Finally, sodium salicylate (150 mg/kg on Day 10) was shown to be synergistic with ozone (1 ppm in midgestation), in that the combined treatment decreased fetal weight, and to a lesser extent increased the resorption rate. These effects were minimal from either treatment administered alone.",5.4.2.4,Lifestage,7.1.2.3.2,Toxicological Evidence of Effects on Female Reproduction
40898,3356996,WOS:A1988L678000004,10.1080/08940630.1988.10466349,Pulmonary function and symptom responses after 6.6-hour exposure to 0.12 ppm ozone with moderate exercise,"Folinsbee, LJ; Mcdonnell, WF; Horstman, DH",1988,,6.2.1.1,Controlled Human Exposure,3.1.4.1.1,Controlled Human Exposure Studies
40904,3341625,WOS:A1988L993400012,10.1164/ajrccm/137.2.313,"Effects of ambient ozone on respiratory function in active, normal children","Spektor, DM; Lippmann, M; Lioy, PJ; Thurston, GD; Citak, K; James, DJ; Bock, N; Speizer, FE; Hayes, C",1988,"Respiratory functions were measured on a daily basis by spirometry over a period of 4 wk at a summer camp at Fairview Lake in northwestern New Jersey. Fifty-three boys and 38 girls 8 to 15 yr of age participated in the study on at least 7 days; 37 children were in residence for 4 wk, 34 for the first 2 wk only; and 20 for the last 2 wk. There were 72 whites, 15 blacks, 3 Asians, and 1 Hispanic in the study group. Multiple regression analyses indicated that the O3 concentration in the previous hour, the cumulative daily O3 exposure during the hours between 9 A.M. and the function measurement, ambient temperature, and humidity were the most explanatory environmental variables for daily variations in function, with the 1 - h O3 concentration having the strongest influence. Linear regressions were performed for each child between O3 concentration and function, and all average slopes were significantly negative (p less than 0.05) for FVC, FEV1, PEFR, and FEF25-75 for all children, and for boys and girls separately. Comparable results were obtained in data subsets (i.e., children studied during the first or second 2 wk only, and for data sets truncated at O3 less than 80 and O3 less than 60 ppb). The average regression slopes (+/- SE) for FVC and FEV1, respectively, were -1.03 +/- 0.24 and -1.42 +/- 0.17 ml/ppb, whereas for PEFR and FEF25-75 they were -6.78 +/- 0.73 and -2.48 +/- 0.26 ml/s/ppb.",6.2.1.2,Epidemiology,3.1.4.1.3,Epidemiologic Studies
